,STATE,STATEFP
0,AL,01
390,AK,02
427,AZ,04
507,AR,05
1717,CA,06
2121,CO,08
2330,CT,09
2503,DE,10
2530,DC,11
2531,FL,12
2847,GA,13
3433,HI,15
3477,ID,16
3647,IL,17
5355,IN,18
6367,IA,19
8029,KS,20
9560,KY,21
10053,LA,22
10629,ME,23
11159,MD,24
11449,MA,25
11806,MI,26
13385,MN,27
16146,MS,28
16556,MO,29
17950,MT,30
18144,NE,31
19337,NV,32
19408,NH,33
19668,NJ,34
20238,NM,35
20368,NY,36
21391,NC,37
22432,ND,38
24194,OH,39
25800,OK,40
26105,OR,41
26317,PA,42
28890,RI,44
28930,SC,45
29229,SD,46
30560,TN,47
31404,TX,48
32266,UT,49
32359,VT,50
32614,VA,51
33166,WA,53
33408,WV,54
33636,WI,55
35558,WY,56
35629,AS,60
35645,GU,66
35665,MP,69
35677,PR,72
36616,UM,74
36617,VI,78
